Gene	T389pH67_1	T401pH67_2	T455pH67_3	T642pH61_1	T665pH61_2	T672pH61_3	T652pH565_1	T671pH565_2	T699pH565_3	T723pH565_4
Fisuc_0316	28.2873	14.2347	31.7518	40.7396	26.4492	20.7431	14.6980	21.2661	17.3158	15.4595
Fisuc_0317	10.2863	6.4703	19.0511	6.7899	14.6940	5.1858	19.9473	20.1166	21.1036	19.2072
Fisuc_0318	57.8604	40.1160	46.9927	74.6892	57.3067	91.6154	39.3698	41.9575	45.9951	42.1622
Fisuc_0319	25.7157	19.4110	35.5620	13.5799	23.5104	6.9144	19.4224	14.9438	22.1859	15.9279
Fisuc_0320	28.2873	19.4110	90.1751	135.7986	151.3484	169.4021	186.3502	198.8672	276.5119	249.2252
Fisuc_0321	64.2893	53.0567	91.4452	67.8993	108.7358	122.7301	99.2118	80.4665	84.9557	75.8919
Fisuc_0322	55.2888	16.8229	86.3649	38.4763	45.5515	60.5008	18.8975	17.2428	23.8092	18.2703
Fisuc_0323	61.7178	27.1754	88.9051	40.7396	63.1843	55.3150	26.2465	28.1633	21.6448	29.0450
Fisuc_0324	48.8599	27.1754	36.8321	31.6863	36.7351	46.6720	44.0941	58.6256	55.7353	80.5766
Fisuc_0326	25.7157	41.4101	30.4817	29.4230	47.0209	27.6575	18.3726	25.2895	21.6448	16.8649
Fisuc_0327	12.8579	12.9407	8.8905	2.2633	8.8164	12.1002	11.5485	10.3457	10.8224	9.8378
Fisuc_0328	118.2924	135.8769	138.4379	199.1713	235.1044	148.6590	107.0857	83.3403	100.6482	104.0000
Fisuc_0329	15.4294	20.7051	13.9708	31.6863	13.2246	10.3716	20.9972	8.0467	15.1513	13.5856
Fisuc_0330	86.1477	111.2897	153.6788	124.4821	114.6134	140.0160	148.0303	140.2416	140.1499	120.3964
Fisuc_0331	3208.0384	3042.3485	2239.1376	1367.0395	1559.0359	1491.7757	1450.9067	1439.7758	1201.8258	1146.3422
Fisuc_0332	55.2888	76.3499	40.6423	61.1094	58.7761	38.0290	66.6661	98.8589	75.7567	97.9099
Fisuc_0333	560.6031	412.8070	735.3719	701.6262	777.3139	708.7231	708.6556	681.0915	984.2958	787.9639
Fisuc_0334	38.5736	24.5872	54.6131	29.4230	23.5104	24.2003	12.5983	14.9438	13.5280	10.7748
Fisuc_0335	2.5716	3.8822	7.6204	27.1597	14.6940	10.3716	164.8280	194.2691	207.7898	196.7567
Fisuc_0336	128.5787	156.5819	100.3357	92.7957	69.0619	105.4442	147.5053	156.9097	125.5397	130.2342
Fisuc_0337	54.0031	62.1152	71.1241	56.5828	42.6127	58.7722	57.7423	65.5227	56.2764	53.4054
Fisuc_0338	212.1548	320.9283	163.8393	92.7957	105.7970	138.2874	169.5524	183.9235	164.5002	153.1892
Fisuc_0339	74.5756	108.7015	60.9635	31.6863	35.2657	38.0290	52.4930	62.6489	41.6662	39.3513
